"","x"
"189","Record.Date.Time"
"190","Depth.Unit.of.Measure"
"191","Camera.5.Type"
"192","Start.Longitude.Minutes"
"193","Sensor.3.Location"
"194","Sensor.5.enabled"
"195","Sensor.1.Location"
"196","Beaufort"
"197","Anaesthetic.Time"
"198","Anaesthetic.Type"
"199","Camera.6.Type"
"200","Landed.Water.Quality.1"
"201","Landed.Water.Quality.2"
"202","Landed.Water.Quality.3"
"203","Start.Latitude.Degrees"
"204","MHS.Mid.Section.1"
"205","MHS.Mid.Section.2"
"206","MHS.Mid.Section.3"
"207","MHS.Mid.Section.4"
"208","MHS.Mid.Section.5"
"209","MHS.Mid.Section.6"
"210","Comment"
"211","Boat.RPM"
"212","Mitigation.Event.Code"
"213","Camera.3.Orientation"
"214","Trawl.Type"
"215","STD.Codend"
"216","Split.Bag"
"217","Boat.Load"
"218","Sensor.2.enabled"
"219","End.Latitude.Minutes"
"220","Doors.Away.Waypoint"
"221","Deleted.Flag"
"222","Camera.2.enabled"
"223","User"
"224","Camera.1.Location"
"225","Mitigation.Equipment.Code"
"226","Start.Latitude.Minutes"
"227","Tide...Current"
"228","Boat.Fuel.Usage"
"229","Camera.2.Type"
"230","End.Longitude.Minutes"
"231","Sensor.6.enabled"
"232","Camera.4.enabled"
"233","FMA"
"234","End.Latitude.Hemisphere"
"235","End.Latitude.Degrees"
"236","MHS.Cone"
"237","STD...Mesh"
"238","STD.Mesh.Size"
"239","Tow.Complete"
"240","Sensor.3.enabled"
"241","Strategy"
"242","Sensor.4.Location"
"243","Camera.4.Type"
"244","Water.Temp"
"245","Camera.1.Type"
"246","Handling.Method.3"
"247","Handling.Method.2"
"248","Handling.Method.1"
"249","Sensor.6.Type"
"250","Hauling.Method"
"251","End.Longitude.Degrees"
"252","Anaesthetic.Duration"
"253","Start.Date.Time"
"254","Hauled.Net.Orientation"
"255","Sensor.2.Location"
"256","Camera.4.Orientation"
"257","End.Longitude.Hemisphere"
"258","Sensor.1.Type"
"259","Start.Seabed.depth"
"260","MHS.Codend"
"261","Doors.Away.Date.Time"
"262","Sensor.2.Type"
"263","Camera.5.Orientation"
"264","Start.Longitude.Hemisphere"
"265","Camera.3.Location"
"266","Net.at.surface.Time"
"267","Camera.6.Orientation"
"268","Sensor.3.Type"
"269","Camera.4.Location"
"270","Weather"
"271","Camera.1.Orientation"
"272","Sensor.1.enabled"
"273","Camera.6.Location"
